02DD,ZC_BATTLEFIELD_NOTIFY_CAMPINFO
02DE,ZC_BATTLEFIELD_NOTIFY_POINT
02DF,ZC_BATTLEFIELD_NOTIFY_POSITION
02E0,ZC_BATTLEFIELD_NOTIFY_HP
02E1,ZC_NOTIFY_ACT2
02E6,CZ_BOT_CHECK
02E7,ZC_MAPPROPERTY
02E8,ZC_NORMAL_ITEMLIST3
02E9,ZC_CART_NORMAL_ITEMLIST3
02EA,ZC_STORE_NORMAL_ITEMLIST3
02EB,ZC_ACCEPT_ENTER2
02EC,ZC_NOTIFY_MOVEENTRY4
02ED,ZC_NOTIFY_NEWENTRY4
02EE,ZC_NOTIFY_STANDENTRY4
02EF,ZC_NOTIFY_FONT
02F0,ZC_PROGRESS
02F1,CZ_PROGRESS
02F2,ZC_PROGRESS_CANCEL
02F3,CZ_IRMAIL_SEND
02F4,ZC_IRMAIL_SEND_RES
02F5,ZC_IRMAIL_NOTIFY
02F6,CZ_IRMAIL_LIST
035C,CZ_OPEN_SIMPLE_CASHSHOP_ITEMLIST
035D,ZC_SIMPLE_CASHSHOP_POINT_ITEMLIST
035E,CZ_CLOSE_WINDOW
035F,CZ_REQUEST_MOVE2
0360,CZ_REQUEST_TIME2
0361,CZ_CHANGE_DIRECTION2
0362,CZ_ITEM_PICKUP2
0363,CZ_ITEM_THROW2
0364,CZ_MOVE_ITEM_FROM_BODY_TO_STORE2
0365,CZ_MOVE_ITEM_FROM_STORE_TO_BODY2
0366,CZ_USE_SKILL_TOGROUND2
0367,CZ_USE_SKILL_TOGROUND_WITHTALKBOX2
0368,CZ_REQNAME2
0369,CZ_REQNAME_BYGID2
03DE,CAH_ACK_GAME_GUARD
0436,CZ_ENTER2
0437,CZ_REQUEST_ACT2
0438,CZ_USE_SKILL2
0439,CZ_USE_ITEM2
043D,ZC_SKILL_POSTDELAY
043E,ZC_SKILL_POSTDELAY_LIST
043F,ZC_MSG_STATE_CHANGE2
0440,ZC_MILLENNIUMSHIELD
0441,ZC_SKILLINFO_DELETE
